section,scope,bet_type,bets,wins,losses,pushes,hit_rate,units_pl,roi_pct,brier,date,daily_units,cumulative_units
projection,OVERALL,all,6420,3379,2890,151,53.9,181.51,2.83,0.2505,,,
projection,BY TYPE,first_5,580,231,254,95,47.6,-44.02,-7.59,0.2548,,,
projection,BY TYPE,first_inning,584,318,266,0,54.5,23.06,3.95,0.2495,,,
projection,BY TYPE,moneyline,584,292,292,0,50.0,-26.57,-4.55,0.2509,,,
projection,BY TYPE,run_line,584,361,223,0,61.8,105.15,18.01,0.2353,,,
projection,BY TYPE,team_totals,2336,1265,1071,0,54.2,78.89,3.38,0.2554,,,
projection,BY TYPE,totals,1752,912,784,56,53.8,45.01,2.57,0.248,,,
backfill,,,,,,,,,,,2026-05-04,14.36,181.51
backfill,,,,,,,,,,,2026-05-03,4.08,167.15
backfill,,,,,,,,,,,2026-05-02,24.08,163.07
backfill,,,,,,,,,,,2026-05-01,-8.28,138.99
backfill,,,,,,,,,,,2026-04-30,6.08,147.27
backfill,,,,,,,,,,,2026-04-29,1.36,141.18
backfill,,,,,,,,,,,2026-04-28,-10.28,139.83
backfill,,,,,,,,,,,2026-04-27,0.81,150.11
backfill,,,,,,,,,,,2026-04-26,-4.92,149.29
backfill,,,,,,,,,,,2026-04-25,5.63,154.21
backfill,,,,,,,,,,,2026-04-24,24.72,148.58
backfill,,,,,,,,,,,2026-04-23,2.36,123.86
backfill,,,,,,,,,,,2026-04-22,23.17,121.5
backfill,,,,,,,,,,,2026-04-21,7.9,98.33
backfill,,,,,,,,,,,2026-04-20,8.45,90.43
backfill,,,,,,,,,,,2026-04-19,3.08,81.98
backfill,,,,,,,,,,,2026-04-18,-1.64,78.9
backfill,,,,,,,,,,,2026-04-17,6.99,80.54
backfill,,,,,,,,,,,2026-04-16,2.81,73.55
backfill,,,,,,,,,,,2026-04-15,-5.37,70.74
backfill,,,,,,,,,,,2026-04-14,16.54,76.11
backfill,,,,,,,,,,,2026-04-13,7.45,59.57
backfill,,,,,,,,,,,2026-04-12,3.08,52.12
backfill,,,,,,,,,,,2026-04-11,-14.01,49.04
backfill,,,,,,,,,,,2026-04-10,28.9,63.04
backfill,,,,,,,,,,,2026-04-09,-1.91,34.14
backfill,,,,,,,,,,,2026-04-08,-18.73,36.06
backfill,,,,,,,,,,,2026-04-07,14.63,54.79
backfill,,,,,,,,,,,2026-04-06,20.36,40.16
backfill,,,,,,,,,,,2026-04-05,4.54,19.81
backfill,,,,,,,,,,,2026-04-04,-17.37,15.27
backfill,,,,,,,,,,,2026-04-03,-2.83,32.64
backfill,,,,,,,,,,,2026-04-02,2.36,35.46
backfill,,,,,,,,,,,2026-04-01,-3.55,33.1
backfill,,,,,,,,,,,2026-03-31,-18.37,36.66
backfill,,,,,,,,,,,2026-03-30,-8.37,55.03
backfill,,,,,,,,,,,2026-03-29,8.45,63.4
backfill,,,,,,,,,,,2026-03-28,41.35,54.95
backfill,,,,,,,,,,,2026-03-27,10.45,13.59
backfill,,,,,,,,,,,2026-03-26,-16.73,3.14
backfill,,,,,,,,,,,2026-03-25,-1.45,19.88
backfill,,,,,,,,,,,2026-03-24,-1.1,21.33
backfill,,,,,,,,,,,2026-03-23,5.54,22.43
backfill,,,,,,,,,,,2026-03-22,-7.82,16.89
backfill,,,,,,,,,,,2026-03-21,6.08,24.72
backfill,,,,,,,,,,,2026-03-20,18.63,18.63
